"Year"	"LAName"	"LACode"	"Advanced Conversion Technologies"	"Anaerobic Digestion"	"Biomass (dedicated)"	"EfW Incineration"	"Landfill Gas"	"Large Hydro"	"Shoreline wave / tidal"	"Small Hydro"	"Solar Photovoltaics"	"Wind Offshore"	"Wind Onshore"	"Total"
2007	"Renfrewshire"	"S12000038"	0	0	0	0	0	0	0	0	0	0	0	0
2007	"Scottish Borders"	"S12000026"	0	0	0	0	0	0	0	0	0	0	121.1	121.1
2007	"Shetland Islands"	"S12000027"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2007	"South Ayrshire"	"S12000028"	0	0	0	0	0	0	0	0	0	0	0	0
2007	"South Lanarkshire"	"S12000029"	0	0	0	0	7.4	0	0	0	0	0	15.6	23
2007	"Stirling"	"S12000030"	0	0	0	0	0	0	0	0	0	0	109.5	109.5
2007	"West Dunbartonshire"	"S12000039"	0	0	0	0	4.1	0	0	0	0	0	0	4.1
2007	"West Lothian"	"S12000040"	0	0	0	0	0	0	0	0	0	0	0	0
2008	"Aberdeen City"	"S12000033"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2008	"Aberdeenshire"	"S12000034"	0	0	1.2	0	6.5	0	0	0	0	0	61.1	68.8
2008	"Angus"	"S12000041"	0	0	0	0	2	0	0	0	0	0	0	2
2008	"Argyll and Bute"	"S12000035"	0	0	0	0	0	14	0	9.6	0	0	129.7	153.3
2008	"City of Edinburgh"	"S12000036"	0	0	0	0	2.4	0	0	0	0	0	0	2.4
2008	"Clackmannanshire"	"S12000005"	0	0	0	0	0	0	0	0	0	0	0	0
2008	"Dumfries and Galloway"	"S12000006"	0	0	50.4	0	0	0	0	0	0	0	136.1	186.5
2008	"Dundee City"	"S12000042"	0	0	0	8.3	0	0	0	0	0	0	4	12.3
2008	"East Ayrshire"	"S12000008"	0	0	0	0	6.7	0	0	0	0	0	13.2	19.9
2008	"East Dunbartonshire"	"S12000045"	0	0	0	0	0	0	0	0	0	0	0	0
2008	"East Lothian"	"S12000010"	0	0	0	0	16.2	0	0	0	0	0	48	64.2
2008	"East Renfrewshire"	"S12000011"	0	0	0	0	0	0	0	0	0	0	6.5	6.5
2008	"Falkirk"	"S12000014"	0	0	0	0	0	0	0	0	0	0	0	0
