"Year"	"LA"	"Advanced Conversion Technologies"	"Anaerobic Digestion"	"Biomass (dedicated)"	"EfW Incineration"	"Landfill Gas"	"Large Hydro"	"Shoreline wave / tidal"	"Small Hydro"	"Solar Photovoltaics"	"Wind Offshore"	"Wind Onshore"	"Total"
2009	"Aberdeen City"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2009	"Aberdeenshire"	0	0	1.2	0	6.5	0	0	0	0	0	75.9	83.6
2009	"Angus"	0	0	0	0	2	0	0	0	0	0	0	2
2009	"Argyll and Bute"	0	0	0	0	0	14	0	9.6	0	0	129.7	153.3
2009	"City of Edinburgh"	0	0	0	0	2.4	0	0	0	0	0	0	2.4
2009	"Clackmannanshire"	0	0	0	0	0	0	0	0	0	0	0	0
2009	"Comhairle nan Eilean Siar"	0	0	0	0	0	0	0	0	0	0	3.9	3.9
2009	"Dumfries and Galloway"	0	0	50.4	0	0	0	0	0	0	0	136.1	186.5
2009	"Dundee City"	0	0	0	8.3	0	0	0	0	0	0	4	12.3
2009	"East Ayrshire"	0	0	0	0	6.7	0	0	0	0	0	13.2	19.9
2009	"East Lothian"	0	0	0	0	16.2	0	0	0	0	0	48	64.2
2009	"East Renfrewshire"	0	0	0	0	0	0	0	0	0	0	328.5	328.5
2009	"Falkirk"	0	0	0	0	0	0	0	0	0	0	0	0
2009	"Fife"	0	0	12.5	0	3	0	0	0	0	0	0	15.5
2009	"Glasgow City"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2009	"Highland"	0	0	5	0	0	376.2	0	33.1	0	0	357	771.3
2009	"Midlothian"	0	0	0	0	6.2	0	0	0	0	0	48.4	54.6
2009	"Moray"	0	0	0	0	0	0	0	0	0	0	115.6	115.6
2009	"North Ayrshire"	0	0	26	0	1.2	0	0	0	0	0	48	75.2
2009	"North Lanarkshire"	0	0	0	0	18.5	0	0	0	0	0	4	22.5
2009	"Offshore"	0	0	0	0	0	0	0	0	0	94	0	94
2009	"Orkney Islands"	0	0	0	0	0	0	1	0	0	0	16.5	17.5
2009	"Perth and Kinross"	0	0	0	0	1.9	32.4	0	15.1	0	0	63.8	113.2
2009	"Scottish Borders"	0	0	0	0	0	0	0	0	0	0	188.9	188.9
2009	"Shetland Islands"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2009	"South Ayrshire"	0	0	0	0	0	0	0	0	0	0	120	120
2009	"South Lanarkshire"	0	0	0	0	7.4	0	0	0	0	0	171.6	179
2009	"Stirling"	0	0	15	0	0	0	0	0	0	0	109.5	124.5
2009	"West Dunbartonshire"	0	0	0	0	4.1	0	0	0	0	0	0	4.1
2009	"West Lothian"	0	0	0	0	0	0	0	0	0	0	0	0
2010	"Aberdeen City"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2010	"Aberdeenshire"	0	0	1.2	0	6.5	0	0	0	0	0	116.6	124.3
2010	"Angus"	0	0	0	0	2	0	0	0	0	0	0	2
2010	"Argyll and Bute"	0	0	0	0	0	14	0	9.6	0	0	149	172.6
2010	"City of Edinburgh"	0	0	0	0	2.4	0	0	0	0	0	0	2.4
2010	"Clackmannanshire"	0	0	0	0	0	0	0	0	0	0	26	26
2010	"Comhairle nan Eilean Siar"	0	0	0	0	0	0	0	0	0	0	3.9	3.9
2010	"Dumfries and Galloway"	0	0	50.4	0	0	0	0	0	0	0	158.1	208.5
2010	"Dundee City"	0	0	0	8.3	0	0	0	0	0	0	4	12.3
2010	"East Ayrshire"	0	0	0	0	6.7	0	0	0	0	0	13.2	19.9
2010	"East Lothian"	0	0	0	0	16.2	0	0	0	0	0	48	64.2
2010	"East Renfrewshire"	0	0	0	0	0	0	0	0	0	0	328.5	328.5
2010	"Falkirk"	0	0	0	0	0	0	0	0	0	0	0	0
2010	"Fife"	0	0	12.5	0	3	0	0	0	0	0	0	15.5
2010	"Glasgow City"	0	0	0	0	6.7	0	0	0	0	0	0	6.7
2010	"Highland"	0	0	5	0	0	376.2	0	33.1	0	0	479.4	893.7
2010	"Midlothian"	0	0	0	0	6.2	0	0	0	0	0	48.4	54.6
2010	"Moray"	0	0	0	0	0	0	0	0	0	0	115.6	115.6
2010	"North Ayrshire"	0	0	26	0	1.2	0	0	0	0	0	48	75.2
2010	"North Lanarkshire"	0	1	0	0	18.5	0	0	0	0	0	4	23.5
2010	"Offshore"	0	0	0	0	0	0	0	0	0	184	0	184
2010	"Orkney Islands"	0	0	0	0	0	0	1	0	0	0	24.6	25.6
2010	"Perth and Kinross"	0	0	0	0	1.9	32.4	0	18.1	0	0	63.8	116.2
2010	"Scottish Borders"	0	0	0	0	0	0	0	0	0	0	381.2	381.2
2010	"Shetland Islands"	0	0	0	0	0	0	0	0	0	0	3.7	3.7
2010	"South Ayrshire"	0	0	0	0	0	0	0	0	0	0	120	120
2010	"South Lanarkshire"	0	0	0	0	7.4	0	0	0	0	0	171.6	179
2010	"Stirling"	0	0	15	0	0	0	0	0	0	0	129.5	144.5
2010	"West Dunbartonshire"	0	0	0	0	4.1	0	0	0	0	0	0	4.1
2010	"West Lothian"	0	0	0	0	0	0	0	0	0	0	14	14
2011	"Aberdeen City"	0	0	0	0	2.2	0	0	0	0	0	0	2.2
2011	"Aberdeenshire"	0	0	1.2	0	6.5	0	0	0	0	0	142.5	150.2
2011	"Angus"	0	0	0	0	2	0	0	0	0	0	0	2
2011	"Argyll and Bute"	0	0	0	0	0	14	0	9.6	0	0	155	178.6
