SETTLEMENT_DATE,SETTLEMENT_PERIOD,Total
2009-01-20,1,36533
2009-01-21,48,36431
2009-01-21,47,37945
2009-01-21,46,40512
2009-01-21,45,42398
2009-01-21,44,44537
2009-01-21,43,46648
2009-01-21,42,48475
2009-01-21,41,50432
2009-01-21,40,51845
2009-01-21,39,52970
2009-01-21,38,54221
2009-01-21,37,54892
2009-01-21,36,55636
2009-01-21,35,56302
2009-01-21,34,54444
2009-01-21,33,51204
2009-01-21,32,49535
2009-01-21,31,48576
2009-01-21,30,48806
2009-01-21,29,48938
2009-01-21,28,48950
2009-01-21,27,49023
2009-01-21,26,49262
2009-01-21,25,49621
2009-01-21,24,49636
2009-01-21,23,49660
2009-01-21,22,49578
2009-01-21,21,49711
2009-01-21,20,49844
2009-01-21,19,49735
2009-01-21,18,49035
2009-01-21,17,49034
2009-01-21,16,48508
2009-01-21,15,45982
2009-01-21,14,41869
2009-01-21,13,38282
2009-01-21,12,35360
2009-01-21,11,34355
2009-01-21,10,34030
2009-01-21,9,34239
2009-01-21,8,34934
2009-01-21,7,35533
2009-01-21,6,36177
2009-01-21,5,36033
2009-01-21,4,36341
2009-01-21,3,36975
2009-01-21,2,37063
2009-01-21,1,37183
2009-01-22,48,36323
2009-01-22,47,37506
2009-01-22,46,39803
2009-01-22,45,41615
2009-01-22,44,43506
2009-01-22,43,45890
2009-01-22,42,47657
2009-01-22,41,49681
2009-01-22,40,50991
2009-01-22,39,52543
2009-01-22,38,53435
2009-01-22,37,54192
2009-01-22,36,54973
2009-01-22,35,55205
2009-01-22,34,52567
2009-01-22,33,49577
2009-01-22,32,48292
2009-01-22,31,47448
2009-01-22,30,47796
2009-01-22,29,48023
2009-01-22,28,48250
2009-01-22,27,48662
2009-01-22,26,48847
2009-01-22,25,49502
2009-01-22,24,49421
2009-01-22,23,49372
2009-01-22,22,49224
2009-01-22,21,49165
2009-01-22,20,48919
2009-01-22,19,48720
2009-01-22,18,48038
2009-01-22,17,48525
2009-01-22,16,47582
2009-01-22,15,45068
2009-01-22,14,40875
2009-01-22,13,37575
2009-01-22,12,34506
2009-01-22,11,33562
2009-01-22,10,33367
2009-01-22,9,33613
2009-01-22,8,34295
2009-01-22,7,35094
2009-01-22,6,35803
2009-01-22,5,35639
2009-01-22,4,36065
2009-01-22,3,36677
2009-01-22,2,36703
