"Date"	"ScotDemand"	"NITransfer"	"Fergus"	"GBTotal"	"EnglandTransfer"
2014-12-15	242.588353	214.733073	643.888095	3186.341543	186.566669
2014-12-16	238.251783	191.822374	702.041444	3202.376216	271.967287
2014-12-17	206.730669	164.666933	704.174039	2727.959679	332.776437
2014-12-18	203.61131	156.833225	755.108761	2597.630508	394.664226
2014-12-19	227.125773	171.277127	792.099638	2849.52072	393.696738
2014-12-20	212.558029	155.656467	741.030451	2667.954497	372.815955
2014-12-21	189.103842	140.744358	752.705103	2632.256851	422.856903
2014-12-22	193.183117	149.76671	708.315197	2558.695028	365.36537
2014-12-23	197.262833	155.454644	639.851428	2681.099567	287.133951
2014-12-24	213.519578	146.378038	608.525739	2600.71078	248.628123
2014-12-25	206.288575	150.85612	730.05404	2806.860196	372.909345
2014-12-26	221.888337	154.111328	766.402138	2903.452587	390.402473
2014-12-27	228.92515	154.866536	749.644416	2972.245122	365.85273
2014-12-28	243.409856	183.999566	760.983536	3182.212515	333.574114
2014-12-29	255.610859	178.144531	785.195956	3484.705624	351.440566
2014-12-30	231.938617	159.155556	719.531822	3375.699621	328.437649
2014-12-31	202.442878	139.777781	770.780442	3011.395289	428.559783
2015-01-01	175.555463	127.777761	765.41675	2903.900034	462.083526
2015-01-02	214.173236	160.377774	773.57054	2862.923326	399.01953
2015-01-03	220.129218	168.988919	744.244583	3019.928261	355.126446
2015-01-04	223.795709	155.199992	713.502826	3234.258496	334.507125
2015-01-05	203.132148	192.666626	738.05387	3356.28647	342.255096
2015-01-06	214.812527	201.977743	705.572314	3270.88836	288.782044
2015-01-07	213.444972	175.188938	687.198409	3304.702808	298.564499
2015-01-08	229.857684	191.344401	680.845788	3128.808231	259.643703
2015-01-09	220.117497	179.85555	569.152274	2804.361529	169.179227
2015-01-10	232.376858	165.844455	503.494203	2587.879076	105.27289
2015-01-11	239.958115	169.299995	474.181392	2786.519512	64.923282
2015-01-12	243.911954	182.655572	640.788397	2979.084845	214.220871
2015-01-13	261.253906	203.866645	711.295869	3191.323061	246.175318
2015-01-14	266.039123	199.311252	656.848334	3386.436064	191.497959
2015-01-15	260.138987	189.188911	710.220041	3301.678081	260.892143
2015-01-16	261.859018	210.367025	728.27629	3357.444585	256.050247
2015-01-17	257.183141	196.488987	788.338334	3430.641	334.666206
