LA Code,Year,Region,Coal - Industrial,Coal - Commercial,Coal - Domestic,Coal - Rail,Coal - Public Sector,Coal - Agriculture,Coal - Total,Manufactured fuels - Industrial,Manufactured fuels - Domestic,Manufactured fuels - Total,Petroleum products - Industrial,Petroleum products - Commercial,Petroleum products - Domestic,Petroleum products - Road transport,Petroleum products - Rail,Petroleum products - Public Sector,Petroleum products - Agriculture,Petroleum products - Total,Gas - Industrial,Gas - Commercial,Gas - Domestic,Gas - Total,Electricity - Industrial & Commercial,Electricity - Domestic,Electricity - Total,Bioenergy & Wastes - Industrial,Bioenergy & Wastes - Commercial,Bioenergy & wastes - Domestic,Bioenergy & wastes - Total,All fuels - Total,Consuming Sector - Industry & Commercial,Consuming Sector - Domestic,Consuming Sector - Transport
S12000014,2016,Falkirk,0.9365761231,0.061878357,10.336839319,0.430327538,0.1197660075,0,11.885387345,679.99274341,5.7288783265,685.72162174,13325.863142,2.1738090059,23.438917851,1370.0826182,46.531173581,1.177374052,24.201591514,14793.468626,395.1698078817093,338.8365508182906,896.3990694,1630.405428,414.6238742,275.8189325,690.4428067,0.08638100412585367,0.07370142177414633,34.679326155,34.839408581,17846.763279,15183.317196,1246.4019636,1417.0441193
S12000013,2016,Na h-Eileanan Siar,19.826502489,0.2260594276,23.513042191,0,0.5032767828,0,44.06888089,0,10.854258613,10.854258613,94.949821857,1.8109143943,129.66952678,171.54342342,5.3804360484,0.99802738,37.241661642,441.59381152,1.5178819809991428,1.3015009870008571,12.3187889,15.13817187,61.45995161,87.14410169,148.6040533,1.8234535633111981,1.5557948360888023,18.343791579,21.723039967,681.98221616,223.21484695,281.84350975,176.92385947
S12000011,2016,East Renfrewshire,0.5159409224,0.0032470495,1.7314766911,0,0,0,2.250664663,0.0384344984,1.4780465121,1.5164810105,13.383656578,0.2476902041,9.4111707408,618.74505116,16.046557488,0.1354955011,15.937113839,673.90673551,57.08476312069375,48.94706997930624,635.3496303,741.3814634,71.22444539,158.647237,229.8716823,0.04758555558456147,0.040600629015438525,20.225219268,20.313405441,1669.2404323,207.60604327,826.84278051,634.79160865
S12000010,2016,East Lothian,618.04478467,0.1687448454,12.886200541,0,0.1910454052,0,631.29077546,0.3900100613,6.6838372463,7.0738473076,71.121796747,2.0670206944,50.778303322,712.85196922,2.1559150414,0.6324731968,39.814079617,879.42155783,106.87890036916824,91.64282603083176,536.7656026,735.287329,264.9234776,186.0550228,450.9785004,31.388846123211582,26.781381051788422,30.497842135,88.66806931,2792.7200793,1254.0453864,823.66680864,715.00788426
S12000008,2016,East Ayrshire,8.2780460011,0.1437864932,7.3165927613,0,0.3296601072,0,16.068085363,0.0389232491,4.2167771391,4.2557003882,94.489441841,1.0586225759,38.194546351,822.84781804,24.206229488,0.8675542945,100.57151721,1082.2357298,161.72681216452713,138.67191803547283,727.6953674,1028.094098,235.0601431,193.8468369,428.90698,48.61479975077617,41.47879382922384,29.045293933,119.13888754,2678.6994811,831.33001865,1000.3154145,847.05404753
S12000006,2016,Dumfries and Galloway,42.676490467,0.653840612,36.263743741,0,0.9472638838,0,80.541338704,0.3836673151,18.254791922,18.638459237,206.94722984,5.5044838148,260.35214472,2016.2857952,46.952502825,1.5071385617,520.15829664,3057.7075916,314.93541489087164,270.0399362091283,594.3230767,1179.298428,515.2450001,331.6715772,846.9165773,3.88569176689243,3.315323903607571,70.404882633,77.605898304,5260.7082932,1886.199778,1311.2702169,2063.238298
S12000005,2016,Clackmannanshire,0.485885967,0.0167580508,2.9210050584,0,0.0908597821,0,3.5145088582,0,1.7522259137,1.7522259137,18.589032063,0.32872987,9.2806077553,228.34122798,49.539377192,0.0507441556,10.375115394,316.50483441,431.7468466157123,370.1993659842876,295.1582032,1097.104416,219.7803758,86.9315246,306.7119004,2.6733997614977853e-4,2.2809802385022145e-4,13.507836961,13.50833212,1739.0962177,1051.6642091,409.55140349,277.88060517
K03000001,2016,GREAT BRITAIN (inc Unallocated),13269.999763,85.069354635,4344.7900412,125.59185956,229.84276623,0,18055.293785,23952.98875,2715.4769142,26668.465665,107031.43544,1093.9760701,21919.856062,425758.20141,7548.8515557,540.25091941,14843.93459,578736.50604,95253.58097897265,81674.74890102736,309639.23934,486567.56922,172054.24046,106323.29147,278377.53191,9249.974991554845,7892.201707445155,22307.796681,39449.97338,1427855.34,527172.24469,467250.45051,433432.64482
K02000001,2016,UNITED KINGDOM (inc Unallocated),15626.175194,93.173331158,4830.4930125,125.66005358,252.67493377,0,20928.176525,23972.093468,2985.9854469,26958.078915,112861.66939,1182.1934798,29347.858013,439463.46651,7694.8100096,613.99008077,16735.987808,607899.97529,97092.2713769169,83251.32560308308,312050.5351,492394.13208,176796.82076,109234.86929,286031.69002,9440.789589954164,8055.007261045837,23974.0683,41469.865151,1475681.918,545974.17227,482423.80916,447283.93658
S92000003,2017,SCOTLAND,1068.8115752,10.243564427999999,522.03248859,4.2468568199,18.802494165,0,1624.1369792,722.38511987,304.89182844,1027.2769483,24463.286681,109.09691199,3111.575734,38473.909604,647.95107067,126.14283965,3038.9081399,69970.870981,10078.436412754052,9269.386257245947,28351.73473,47699.5574,14136.42084,10011.09613,24147.51697,1980.8018727368137,1719.6756898631863,1445.3599308,5145.8374934,149615.19677,66742.398398,43746.690842,39126.107531
