GeographyCode,DateCode,Measurement,Units,Energy Type,Energy Consuming Sector,Value
S12000005,2014,Count,GWh,Gas,Industrial,415.539
S12000005,2014,Count,GWh,Gas,All,1078.552
S12000005,2014,Count,GWh,Manufactured Fuels,Domestic,2.156
S12000005,2014,Count,GWh,Manufactured Fuels,Industrial,4.077
S12000005,2014,Count,GWh,Manufactured Fuels,All,6.233
S12000005,2014,Count,GWh,Petroleum Products,Agriculture,9.424
S12000005,2014,Count,GWh,Petroleum Products,Commercial,0.293
S12000005,2014,Count,GWh,Petroleum Products,Domestic,9.242
S12000005,2014,Count,GWh,Petroleum Products,Industrial,14.267
S12000005,2014,Count,GWh,Petroleum Products,Public Sector,0.016
S12000005,2014,Count,GWh,Petroleum Products,Rail,49.416
S12000005,2014,Count,GWh,Petroleum Products,Road Transport,219.616
S12000005,2014,Count,GWh,Petroleum Products,All,302.273
S12000005,2015,Count,GWh,All,All,1685.73
S12000005,2015,Count,GWh,Bioenergy & Wastes,Domestic,12.57
S12000005,2015,Count,GWh,Bioenergy & Wastes,Road Transport,5.852
S12000005,2015,Count,GWh,Bioenergy & Wastes,All,18.425
S12000005,2015,Count,GWh,Bioenergy & Wastes,Commercial,0.001
S12000005,2015,Count,GWh,Bioenergy & Wastes,Industrial,0.001
S12000005,2015,Count,GWh,Coal,Agriculture,0
S12000005,2015,Count,GWh,Coal,Commercial,0.022
S12000005,2015,Count,GWh,Coal,Domestic,2.936
S12000005,2015,Count,GWh,Coal,Industrial,0.198
S12000005,2015,Count,GWh,Coal,Public Sector,0.036
S12000005,2015,Count,GWh,Coal,Rail,0
S12000005,2015,Count,GWh,Coal,All,3.192
S12000005,2015,Count,GWh,All,Domestic,415.007
S12000005,2015,Count,GWh,All,Industrial & Commercial,994.532
S12000005,2015,Count,GWh,All,Transport,276.191
S12000005,2015,Count,GWh,Electricity,Domestic,91.614
S12000005,2015,Count,GWh,Electricity,Industrial & Commercial,220.251
S12000005,2015,Count,GWh,Electricity,All,311.865
S12000005,2015,Count,GWh,Gas,Commercial,343.893
S12000005,2015,Count,GWh,Gas,Domestic,296.482
S12000005,2015,Count,GWh,Gas,Industrial,401.481
S12000005,2015,Count,GWh,Gas,All,1041.855
S12000005,2015,Count,GWh,Manufactured Fuels,Domestic,2.143
S12000005,2015,Count,GWh,Manufactured Fuels,Industrial,2.024
S12000005,2015,Count,GWh,Manufactured Fuels,All,4.167
S12000005,2015,Count,GWh,Petroleum Products,Agriculture,9.815
S12000005,2015,Count,GWh,Petroleum Products,Commercial,0.355
S12000005,2015,Count,GWh,Petroleum Products,Domestic,9.261
S12000005,2015,Count,GWh,Petroleum Products,Industrial,16.43
S12000005,2015,Count,GWh,Petroleum Products,Public Sector,0.026
S12000005,2015,Count,GWh,Petroleum Products,Rail,49.169
S12000005,2015,Count,GWh,Petroleum Products,Road Transport,221.17
S12000005,2015,Count,GWh,Petroleum Products,All,306.226
S12000005,2016,Count,GWh,All,All,1746.088
S12000005,2016,Count,GWh,Bioenergy & Wastes,Domestic,13.527
S12000005,2016,Count,GWh,Bioenergy & Wastes,Road Transport,5.93
S12000005,2016,Count,GWh,Bioenergy & Wastes,All,19.46
S12000005,2016,Count,GWh,Bioenergy & Wastes,Commercial,0.001
S12000005,2016,Count,GWh,Bioenergy & Wastes,Industrial,0.002
S12000005,2016,Count,GWh,Coal,Agriculture,0
S12000005,2016,Count,GWh,Coal,Commercial,0.02
S12000005,2016,Count,GWh,Coal,Domestic,2.915
S12000005,2016,Count,GWh,Coal,Industrial,0.003
